Genome, Fitness, Wins (X), Losses (X), Draws (X)
442174165220233565544843776348757646236227255877455303483642582738885662822417166112174464156433684857366831854472754856165435378557286373777754685483770070060623845847757345356828447657555668564264226726578661173663730771848553762847477348422458733864443385556557547525242743137523181171313417176362285262432385547626743783576864278788686587888776444748785853543545528777747247255448266662566626446674644666355887211782866137888116834554828416623666474611453378653581185358473831465378436656187334261311518775823046856668872422672788572402886578877688565444454118855618455446337885787687777588444454774074746556807786686528888678665371581373568661347468655886577517746874355464532615262867642867588768447418775548278278440748888871136478267518746584999999999999999, 0.038461538461538464, 144, 8, 56
442174165220233565544843776348757646236227255877455303483642582738885662822417166112174464156433684857366831854472754856165435378557286373777754685483770070060623845847757345356828447657555668564264226726578661173663730771848553762847477348422458733864443385556557547525242743137523181171313417176362285262432385547626743783576864278788686587888776444748785853543545528777747247255448266662566626446674644666355887211782866137888116834554828416623666474611453378653581185358473831465378436656187334261311518775823046856668872422672788572402886578877688565444454118855618455446337885787687777588444454774074746556807786686528888678665371581373568661347468655886577517746874355464532615262867642867588768447418775548278278440748888871136478267518746584999999999999999, 0.038461538461538464, 144, 8, 56
444768167422861066525478314324677768151731627884226250778678447787286342642575866766678635467474585331785788881312487235135662864662256236577445872682782524006600784536834778486554484857226657585647472528585251888658857561844556567654446748736386857875478883884764756827234785672821388131383473186888783668733655747768246663070754772722755776888746644374865558455755325778846887724425628766665224662674478746758811727266151123158448888574228416672414771183134377858688133557473335467554444346127332311335513671863862855777422482876688500472887536877688565844477147775575855475357885787687752528448454676474746552888886586628468674285878176113321561446768538886773517886854875556553515222862646867588768447418775548278278440748888871136478267518746584999999999999999, 0.045454545454545456, 200, 12, 52
444768167422861066525478314324677768151731627884226250778678447787286342642575866766678635467474585331785788881312487235135662864662256236577445872682782524006600784536834778486554484857226657585647472528585251888658857561844556567654446748736386857875478883884764756827234785672821388131383473186888783668733655747768246663070754772722755776888746644374865558455755325778846887724425628766665224662674478746758811727266151123158448888574228416672414771183134377858688133557473335467554444346127332311335513671863862855777422482876688500472887536877688565844477147775575855475357885787687752528448454676474746552888886586628468674285878176113321561446768538886773517886854875556553515222862646867588768447418775548278278440748888871136478267518746584999999999999999, 0.045454545454545456, 200, 12, 52
433674765220233568388765256518617646236227255877455303483642582738885662822471116112623538456483655331785616413373237655338335220654556773777754685483770070060632844536834775486428447657555668566747266425578661173663730771848553762847477361446358763831658455554575747822353387642123115111311615485282603762676258578222675862778828228228686587888776444748785858573765387256864844272448262666666226444676574726765517221187161283101416834554828416623666474611135388853581185358473835465378436656133354215311518751223546856664474766272088572402886578877688845444454117855618455446337885787687777588444454774074746566807888586528888678665371581312321661367463535267723811746874873464833615268887882867588768447418775548278278440748888871136478267518746584999999999999999, 0.047619047619047616, 128, 8, 32
433674765220233568388765256518617646236227255877455303483642582738885662822471116112623538456483655331785616413373237655338335220654556773777754685483770070060632844536834775486428447657555668566747266425578661173663730771848553762847477361446358763831658455554575747822353387642123115111311615485282603762676258578222675862778828228228686587888776444748785858573765387256864844272448262666666226444676574726765517221187161283101416834554828416623666474611135388853581185358473835465378436656133354215311518751223546856664474766272088572402886578877688845444454117855618455446337885787687777588444454774074746566807888586528888678665371581312321661367463535267723811746874873464833615268887882867588768447418775548278278440748888871136478267518746584999999999999999, 0.047619047619047616, 128, 8, 32
444764147422341065544843718341638684318234225800862758568356847668256384642578865818174474156333684857366831881478754856165475378557288376785645872683702067274635768476834544753326784678626465565844224426818278888716820678646583547856647348422358733864448857664564758823234785672823187571313413186888783668763385747776646663018030070628675677687475684333765358475755328777747247774425226662565224266674478266857187221182166137888116544484648481673576473871453378678855185378678364865558546586687833213317838776873042658678872422672787070072866536877688865847857818855575457445557582785687757527848842706047338556888786666568488674265858586373568661347468655866577517886854875566552667228882842867588768447418775548278278440748888871136478267518746584999999999999999, 0.04918032786885246, 152, 12, 80
444764147422341065544843718341638684318234225800862758568356847668256384642578865818174474156333684857366831881478754856165475378557288376785645872683702067274635768476834544753326784678626465565844224426818278888716820678646583547856647348422358733864448857664564758823234785672823187571313413186888783668763385747776646663018030070628675677687475684333765358475755328777747247774425226662565224266674478266857187221182166137888116544484648481673576473871453378678855185378678364865558546586687833213317838776873042658678872422672787070072866536877688865847857818855575457445557582785687757527848842706047338556888786666568488674265858586373568661347468655866577517886854875566552667228882842867588768447418775548278278440748888871136478267518746584999999999999999, 0.04918032786885246, 152, 12, 80
447156735706061045525478314324577768153731556377473266587525472568218578622717866112765665156335684837366831854478754856165475378557288376777464422682782524076600784547837378486826774262788245574647472528585266858658857561646556567654416748736386557875478883884764756823234785672133187171313417176352285262432385577626643788570754772728788674647775486743786558475755325778846887724425226662565224266768584748867177881166861237158448888574260265122514771181453377853655185557478364865553755681637334211117811776862846855768422487672787078476887878377678565487857818855575855475357885787687772828444452776044738552888886586628468578265858586373568661347468558866577517846874355464532617222862646867588768447418775548278278440748888871136478267518746584999999999999999, 0.05357142857142857, 156, 12, 56
447156735706031245544843776348756236882461536377473266587525572568278578678717164818174464156333684857366831854478754856165475378557288376776464425443050202076523545847757345356826774262788245474264226726815858888716820678884558547856647348422458733864443385556557547575242743137533187171313417176362285262432385547626643783576864278788788686678846685743865533543545528777747247255428226662566624266674644667355887211782866137888116544484648481673576473871453378678555185378678364865553756341787833261117811775823042658678872422672787078476886578377678565487857818855575445446357882877872652528474452776044338556888786666528868674265858586373568661347468655866577517746874355464532617262867642867588768447418775548278278440748888871136478267518746584999999999999999, 0.05357142857142857, 144, 12, 68
447156735706061045525478314324577768153731556377473266587525472568218578622717866112765665156335684837366831854478754856165475378557288376777464422682782524076600784547837378486826774262788245574647472528585266858658857561646556567654416748736386557875478883884764756823234785672133187171313417176352285262432385577626643788570754772728788674647775486743786558475755325778846887724425226662565224266768584748867177881166861237158448888574260265122514771181453377853655185557478364865553755681637334211117811776862846855768422487672787078476887878377678565487857818855575855475357885787687772828444452776044738552888886586628468578265858586373568661347468558866577517846874355464532617222862646867588768447418775548278278440748888871136478267518746584999999999999999, 0.05357142857142857, 156, 12, 56
447156735706033245544843776348756236882461536377473266587525572568278578678717164818174464157333684857366881854478784856165475378557288376776464426443050202076523545847757345356826774262788245474264226726815858888716820678884558547856647348432458733864443385556557547575242743137533187171313417176362205262432385547626643783576864278788788666678846685743865573543545528777747247255428226662566624266674644667355887211782866187888116544484648481673576473871453378678555185378678364865553756341787833261117811775823042658678872422672787078476886578377678565487857818855575445446357882877872652528474452776044338556888786666528868674265858586373568661347468655866577517746874355464532617262867642867588768447418775548278278440748888871136478267518746584999999999999999, 0.05357142857142857, 144, 12, 68
433674765220863348381646484827568223252361224877455303483642547277278387734811115112627655756483655331785716413373233226517443170654556773777754685446606764802657868635885778585828447657555668566747266425577861173663730771448882042847148741446368767671853433435578568525858885143327511723214511478263755588266380872226266663778828228222688767648458485378555858573765385256864844272448262665668826446866677728788817221182868182701416834557245281177461433183455565657651163357478834465378436656133334315311531651223546856674474766222608678276786536375586545447857847855618455446337825777682752528478454774474748562608738586528888678665358571112521661347728558286727811746874873464833615268887882867588768447418775548278278440748888871136478267518746584999999999999999, 0.057692307692307696, 160, 12, 36
444764147422341066525478318341738684318234227804862758568356847665856384642578861718468627748374583357566788881312487226827363875768562675685645872683702067274635768476834544753374784678626465565844224426888278282718857561646583562612648764146475783475478857664564758723234785672821388515815473186888783668763385747768246663018030070628675677687475684333765358475755325757786287774425672662668224266674478266857187221166151123188848888574260486873464711111424875553855163534667335867358546586687232313317838756863843776787478486876688500072866536877688865847874148877578857445557522785687757527848842706477346656688786666568488674685878176113321561467468635886577587886854875566552667228882842867588768447418775548278278440748888871136478267518746584999999999999999, 0.06060606060606061, 188, 16, 60
443674765222861066385478316518617768151731655877455303483642547787286342622471116112623538456483635331785788883373287235338335264662256773787754685483770074006600784536834775486854484857226657585647472528585251888658857561844556567654446761446388857875488883884764756827234785672821388131311615485282603762676655778222675862778828228228686776888776444748785858455755387256864844272448262666666226662674474746765517221266161283151414834574228416623666474611135388853581185357473335467554444346133354215311518751223546856668472482866088572402886578877688845444457117855618455446337825787687777588444454774074746552888886586628468674685878576173321561446768538886773517886854875556553515222862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.0625, 136, 12, 44
447156735706031245544843776348776236882461536377473260587525572568273578678717164818174464156333684857366541854478754856165475378557288876776464425443050202076523545847757345356826774262788245474264226726815858888716820618884558547856647348422458733864443385556557547575242743137533187171313417176362285262462385547626643783576864278788788686678846685743865533543545528777747247254428226662566624266674644667355887211782866137888116534484648481673574473871453378678555185378678364865553756341787833261117811775823042658678872422672787078476886878377678565487857818855575445446357882877872652528474452776044338556888786666528868674265858586373568661347468655866577517746874355464532617222867642867588768447418775548278278440748888871136478267518746584999999999999999, 0.06451612903225806, 168, 16, 64
447156735706031245544843776348776236882461536377473260587525572568273578678717164818174464156333684857366541854478754856165475378557288876776464425443050202076523545847757345356826774262788245474264226726815858888716820618884558547856647348422458733864443385556557547575242743137533187171313417176362285262462385547626643783576864278788788686678846685743865533543545528777747247254428226662566624266674644667355887211782866137888116534484648481673574473871453378678555185378678364865553756341787833261117811775823042658678872422672787078476886878377678565487857818855575445446357882877872652528474452776044338556888786666528868674265858586373568661347468655866577517746874355464532617222867642867588768447418775548278278440748888871136478267518746584999999999999999, 0.06451612903225806, 168, 16, 64
444768765706031245544843776348777768182461536577825250778625472568218642822717116112765665453735685331785781854478754383568835378557288376776464525243082202004523545847757345356876774262788245574264226528515858888716820678888558547856647348422458733864443385556557547575242743137533187171313417176362285282433385547626646663070754878088756774647775486743786553473555328777747247255428226662566624242674644667355877881782866137888116888574648481673576473811453378673688133557473374865553756341787834211317811776823042658678872487876787078426886878377678565487854118775575855476357885787687777888444454676474738562888886586628468674285878176373561561446768655866577517846874355464852617262867642867588768447418775548278278440748888871136478267518746584999999999999999, 0.06666666666666667, 144, 16, 80
444768765706031245544843776348777768182461536577825250778625472568218642822717116112765665453735685331785781854478754383568835378557288376776464525243082202004523545847757345356876774262788245574264226528515858888716820678888558547856647348422458733864443385556557547575242743137533187171313417176362285282433385547626646663070754878088756774647775486743786553473555328777747247255428226662566624242674644667355877881782866137888116888574648481673576473811453378673688133557473374865553756341787834211317811776823042658678872487876787078426886878377678565487854118775575855476357885787687777888444454676474738562888886586628468674285878176373561561446768655866577517846874355464852617262867642867588768447418775548278278440748888871136478267518746584999999999999999, 0.06666666666666667, 144, 16, 80
447156735706031245544843776348752236882461536377873266587525472568218578673717164818174464156333684857361831854478754856165475378557288376776464525243050202074523545847757345356876774262788245574264226726815858888716820678888558547856647348422458733864443385556557547575242743137533187171313417176362285262432385547626643788576864278088788686678876685743865533543545328777747247255428226662566624266674644667355887211782866137888116544484648481673576473811453378678555185378678364865553756341787833261117811776823042658678872422672787078476886878377678565487857818855575445446357882877872752828444452706044338556888786666528867674265858586373568661347468655866577517746874355464532617262867642867588768447418775548278278440748888871136478267518746584999999999999999, 0.07142857142857142, 144, 16, 64
447156735706031245544843776348752236882461536377473266587525472568218578678717164818174464156333684857366831854478754856165475378557288376776464525243050202076523545887757345356826774268788245574264226726815858888716820678884558547856647348422458733864443785555557547575242743137533187131313417176362285266432385747626643788576864278788788686678876685743865533543545528777747247255428226662566624266674644667355817211782866137888116544484648481673576473811453378678555185378678364865553756341787833261117811776823042658678872422672787078476886878377678565484857817855575445446357882877872752828444452776044338556888786666528868674265858586373568661347468655866577517746874355464532617262867642867588768447418775548278278440748888871136478267518746584999999999999999, 0.07142857142857142, 144, 16, 64
447156735706031245544843776348752236882461536377473266587525472568218578678717164818174464156333684857366831854478754856165475378557288376776464525243050202076523545887757345356826774268788245574264226726815858888716820678884558547856647348422458733864443785555557547575242743137533187131313417176362285266432385747626643788576864278788788686678876685743865533543545528777747247255428226662566624266674644667355817211782866137888116544484648481673576473811453378678555185378678364865553756341787833261117811776823042658678872422672787078476886878377678565484857817855575445446357882877872752828444452776044338556888786666528868674265858586373568661347468655866577517746874355464532617262867642867588768447418775548278278440748888871136478267518746584999999999999999, 0.07142857142857142, 144, 16, 64
