Genome, Fitness, Wins (X), Losses (X), Draws (X)
472287515353762242676454815788361585842737658370483223485482672575878386823747416464423758765433455856835711531434111257830473124787776752745765486314625760804585775586337745363428475862584425547284754776177678853673150125876586062642147164855888858435457737486558431323258287447533317725235557668286605768733505544782263023570032078266676776847845886738867855853753528776767284222426678766775868464766548266767111717266811237181446584585868216177671411181123378553555585638463835845534444351122834265327858645272523775687424286662788000472786836387588564844874117855615457775337522775877752528874854704477736652807736582564888578688878581312321665367768638887723511788374375566852617228862682867588768447418775548278278440748888871136478267518746584999999999999999, 0.12307692307692308, 164, 32, 64
472287515353762242676454815788361585842737658370483223485482672575878386823747416464423758765433455856835711531434111257830473124787776752745765486314625760804585775586337745363428475862584425547284754776177678853673150125876586062642147164855888858435457737486558431323258287447533317725235557668286605768733505544782263023570032078266676776847845886738867855853753528776767284222426678766775868464766548266767111717266811237181446584585868216177671411181123378553555585638463835845534444351122834265327858645272523775687424286662788000472786836387588564844874117855615457775337522775877752528874854704477736652807736582564888578688878581312321665367768638887723511788374375566852617228862682867588768447418775548278278440748888871136478267518746584999999999999999, 0.12307692307692308, 164, 32, 64
426724275408866678864765738528233746648650855502452776578445256686386254243447415828778765436883724241756134731131317833388676211682252275768555575686258677078555875577857863745428745667758227466866267525883258152652865571552512042417111811725488885668358743856467437585333847153137311533214613576268286268762245587778276682768558026686758774848858846848786333555563525826467228474748676666766866664778648747757111287762166232785158848557628386863466133871853578677875185658448364334878744586627853743321811546623822858764484786826608000402866876877676845844857147755618857476554582775677752827444844604047348656688836582664867584665871571312321511466463658267723581748857875464832665628882646867588768447418775548278278440748888871136478267518746584999999999999999, 0.14545454545454545, 160, 32, 28
426724275408866678864765738528233746648650855502452776578445256686386254243447415828778765436883724241756134731131317833388676211682252275768555575686258677078555875577857863745428745667758227466866267525883258152652865571552512042417111811725488885668358743856467437585333847153137311533214613576268286268762245587778276682768558026686758774848858846848786333555563525826467228474748676666766866664778648747757111287762166232785158848557628386863466133871853578677875185658448364334878744586627853743321811546623822858764484786826608000402866876877676845844857147755618857476554582775677752827444844604047348656688836582664867584665871571312321511466463658267723581748857875464832665628882646867588768447418775548278278440748888871136478267518746584999999999999999, 0.14545454545454545, 160, 32, 28
814326244857342255726223337133781173632317825404288228857882544487665688748451145178117625647836524778565776114533277857685232118464485755285460682316078560274627867638868745355378575687286247446284462526178675253816855715544416842167731388733857558865377735866734737727288343754183111321215761575358503243434655544626746776565834720628756776875458455344865355553753557857767788774478868865578226444664477248787517787782666127181858637474240366123614733613133875558578763538867635867574446341723252265835138546862542875564882767666080050070866836875576545844477847757518845745357585785677652888848854776047336552687736582524867574268851176372568515446723558867773881886377355456853515228782886867588768447418775548278278440748888871136478267518746584999999999999999, 0.15510204081632653, 134, 38, 73
453026241422452842665848555571672385181331835357822775668822266252312264644055611416647720647834588458565776414533211852311824861674587335765660682374600066268533867575358743746586875677784855547226224725873621807858827724486016014112748143145855733675657837866474737582232367737181365121284553525388655668766308848822725668088868242706686766677876685334557378858564358277767228474746626826666228462676684268868575717282868232888154844584825261822464133871853575558678735338443831837554754551687252315831138741622042675784884727264780072470866536385576844447854847755618457475537822777882777528478842606474736652607736566624468674285858581172528561366428558867523511748854375566533515628882682867588768447418775548278278440748888871136478267518746584999999999999999, 0.15789473684210525, 148, 36, 44
453026241422452842665848555571672385181331835357822775668822266252312264644055611416647720647834588458565776414533211852311824861674587335765660682374600066268533867575358743746586875677784855547226224725873621807858827724486016014112748143145855733675657837866474737582232367737181365121284553525388655668766308848822725668088868242706686766677876685334557378858564358277767228474746626826666228462676684268868575717282868232888154844584825261822464133871853575558678735338443831837554754551687252315831138741622042675784884727264780072470866536385576844447854847755618457475537822777882777528478842606474736652607736566624468674285858581172528561366428558867523511748854375566533515628882682867588768447418775548278278440748888871136478267518746584999999999999999, 0.15789473684210525, 148, 36, 44
472373515353762242676455817435361588842737658327783223464626847277853746643771675284443658665433475833116136411471371736127632315776536655647400382615682577480585575586337745366428475868764425647286426447773668853673750125876812842642147164855888868434455353838634761323254817447133317711813773488666752663734300668674528822710034870028676776847845886344787355478363525758486884754425678765566866644766544266767875781727811222758846584477665215122566734888134368578888165674443835847534536686687252315327533541872023856787674422666608578020767876375688865447477148875518457776337525777687752528844454604477738562808886582564888578688878586312328511446428655866577811746877873466532617628767886867588768447418775548278278440748888871136478267518746584999999999999999, 0.16666666666666666, 168, 52, 92
080046221327008852266855817425761272834361288627788208567626887277853746643771675284443658655753532833116136511474371736127636115776536655647400382615682577480533568435885874743478885278764456564286426447773678858152667168542812864662111348423355757474475354838634768822234245674187381538743773488666752663734300668672528878768534870782655674847845444778587335458363525858486888754425678765566866646778678667785875781727811622758816584477665215122616734888134368678885165674877865465838736686787252315327533541872023856787674266822660578020767876375688865447477148875518445445354525777682772888844454604474338562887786682524488674685358571173328661446428655866577881746877873466832515662767886867588768447418775548278278440748888871136478267518746584999999999999999, 0.16929133858267717, 138, 43, 73
426776816445847378664765738528552538842535855682722778683388676686386254243447414468115228447873724476755184731131317833388676211682252275768555575886258677078583565446865555753577774257566848587226267525873628878656865571586488514814111811725488863865358743856468437587842817454837567173311653128368286268762545587778275682788558026682656674848858846848786333555563525827467228474748668766568856664776677228387171717786858632181844584874620386863466133871853578677875765678448364334878744588187254243131553755623822858764484786826607572026786538375576845844857147755618857446554585877682772588474852706047346562687886566664887584665878586172361611446463658267723511788357875464832665628882642867588768447418775548278278440748888871136478267518746584999999999999999, 0.1896551724137931, 160, 44, 28
