Genome, Fitness, Wins (X), Losses (X), Draws (X)
410656112755261286228235764144532364844520534584886265488858887252883554633475115228475477726335752871765784878731381767185475265488538753565660543242826582600622844447364354566456577672725828685288477726773766207762730674588413784147746141835366765475685337885758551882384887652121761731813655466333656686633600868862775623576828846788785686885875455343857833478353357226444827224776862675565268466756584646755185828787651637181454888554220411627664773878154865653581735674867664867858454558632334745131813751823046858774874262226088570006786576885686865884874848857615857775534525775877772888878454676477736666887886562568867588285858581312528565367728555867723517748857355454532615262862842867588768447418775548278278440748888871136478267518746584999999999999999, 0.05172413793103448, 176, 12, 44
410656112755261286228235764144532364844520534584886265488858887252883554633475115228475477726335752871765784878731381767185475265488538753565660543242826582600622844447364354566456577672725828685288477726773766207762730674588413784147746141835366765475685337885758551882384887652121761731813655466333656686633600868862775623576828846788785686885875455343857833478353357226444827224776862675565268466756584646755185828787651637181454888554220411627664773878154865653581735674867664867858454558632334745131813751823046858774874262226088570006786576885686865884874848857615857775534525775877772888878454676477736666887886562568867588285858581312528565367728555867723517748857355454532615262862842867588768447418775548278278440748888871136478267518746584999999999999999, 0.05172413793103448, 176, 12, 44
474683187728082236587678856771657178811354658584886262753348577436865274884741171221147750138383683238735685433523484853181674360688435326368650628363678727474507545585355744385856774862585625474844626648113765272116835124688013817442471118123857168781657444466574558383834343153837785725384711176332652522434681544228665863610032208786876774488875655338587353473744527727886248272775268676678664666656444246755517727787151623781118844577245265163561774111154887673688138677667864864373554648733822241815531671866022855667472467826760078426786576875588864487877147777618445745554822875882757827874444704077748562688738662564887688668878176372521665347768635887777511886357855566832565268787842867588768447418775548278278440748888871136478267518746584999999999999999, 0.06557377049180328, 168, 16, 60
422543111743858078665675865727688323284520674654270222488858887252883554633775115228475477726856752871737738878331381667385644825668638753565560543242602662884630774547358544385874887678225426685288477728773766157768735618588413784147746111835366765475687853454457757383233263753118568135315663161386256683673600868862778723576838746788785686885778686373857833475353357226444824724425626675565868464868477226365815828787651687181454888554245411627664773878154875658581568377663664867858454558622334745125133746676846658774874262224088570006786576885686865884854117855515857745534525775877772888878454676447738652607786586668467588685371181312528565367728558287573517788374873554833565668862842867588768447418775548278278440748888871136478267518746584999999999999999, 0.06666666666666667, 160, 16, 64
422543111743858078665675865727688323284520674654270222488858887252883554633775115228475477726856752871737738878331381667385644825668638753565560543242602662884630774547358544385874887678225426685288477728773766157768735618588413784147746111835366765475687853454457757383233263753118568135315663161386256683673600868862778723576838746788785686885778686373857833475353357226444824724425626675565868464868477226365815828787651687181454888554245411627664773878154875658581568377663664867858454558622334745125133746676846658774874262224088570006786576885686865884854117855515857745534525775877772888878454676447738652607786586668467588685371181312528565367728558287573517788374873554833565668862842867588768447418775548278278440748888871136478267518746584999999999999999, 0.06666666666666667, 160, 16, 64
474683187728343557838627235514371783788211267506876073835455642557766667343718664878713657745353783258155715731714714827330374630668266388205667365372076786482220648576385373448374787687254627484888724645827625287653165125684458787452716183426467763631843483458778167837884343137387561115245711188233706583662680868686766623775032208782878777888878455734785578443754527728746228272548868862725854666656444646755181281767161123881458588857665466673411173118133585663675738334463365867878454556782252241815553751263022878667884482226700078202786838875588864884454847777675847745354582875882772527874854776477346562807836662668487584665371186113561515347428558866727511786874875566532565628882882867588768447418775548278278440748888871136478267518746584999999999999999, 0.07462686567164178, 164, 20, 84
415843871408582236741147756771857744114354858254260265488856877488656556782775175224763477748378378223135731133588381665560475265458572825766047466363602522600522845545764558585856774856256857685288727778127866157152867114854863817867746141836366765475885337658565551882354763737823118525884653176382276683623600847862768676576032708760676577885778454334766833543555428226786247254576628875525854666656444646765815281287861637151414648577245286677571173118133585663671588677667864865858554346182324741115531671866022756567482266872767658070767576885686865447874848857615847446534825775877677888848454676074738562887886586564488674265878186173568565366768655267723887846357355454832515668862842867588768447418775548278278440748888871136478267518746584999999999999999, 0.07547169811320754, 156, 16, 40
415843871408582236741147756771857744114354858254260265488856877488656556782775175224763477748378378223135731133588381665560475265458572825766047466363602522600522845545764558585856774856256857685288727778127866157152867114854863817867746141836366765475885337658565551882354763737823118525884653176382276683623600847862768676576032708760676577885778454334766833543555428226786247254576628875525854666656444646765815281287861637151414648577245286677571173118133585663671588677667864865858554346182324741115531671866022756567482266872767658070767576885686865447874848857615847446534825775877677888848454676074738562887886586564488674265878186173568565366768655267723887846357355454832515668862842867588768447418775548278278440748888871136478267518746584999999999999999, 0.07547169811320754, 156, 16, 40
415843871458082236741147756771857774114354858654260265488856877488656556782775115224763477748378378223135731133588381665560475265458576825786047466363602662600522845545764558585856774886256857685288727778127866157152867114854863817867746141836366765475885337658565551882354763737823118525884653176382276683623600848862768676576032208760676577885778454334766833543554428226786247254576628875525854666656444646765815281287661637151414648577245286677571173118133585663671588677667864865858554346182324741115531671866022756567482266872767658070767576885686865447874848857615847446534825775877677888848454676074738566887886586564488674265878186173568565366768655267723887846357355454532515668862842867588768447418775548278278440748888871136478267518746584999999999999999, 0.07547169811320754, 156, 16, 40
415843871458082236741147756771857778114314258654260265488856877488656556782775115824763477748378378223135731173588381665568475265458576825786047466363802662600522845545764558585856874886256857685288727778127866157152867114854863817867746141836366765475885337658565551882354763737823118525884653176382276683623600848862768676576032208760676577885778454333766833543554428727786247254776628875525854666656444646765815281287661633151414648577245286677571173118133585663671588677667864865858554346182324741115531671866022756567482766872767658070767576885686865447874848857615847446534825775677677888848454676074738566887886586564488674265878186173568565366768655267723887846357355454532515668862842867588768447418775548278278440748888871136478267518746584999999999999999, 0.07692307692307693, 156, 16, 36
