Genome, Fitness, Wins (X), Losses (X), Draws (X)
438877143758583257227634871525517538243657668856288050684678256585858667328541444462745235156373573743717886711184383227620866310554776778308655326864888680468285584576867375465877574666766866474626474527183678807672168575584082012844636311753557158731373384634478746872282383437321787731343415465232285243773601784274563868015534208720858766488456855834755338555345327726866884254745228875668866244764487747858187281282816632708858644555248311877476114118835377558858588677677635835874535351127254715821131556666843655578678267624707078472766576377688565487454817757578447776534882885877772587878842604077346552608736682628888684688871181373368511367428635886727881788857855456553515628782682867588768447418775548278278440748888871136478267518746584999999999999999, 0.02127659574468085, 128, 4, 56
438877143758583257227634871525517538243657668856288050684678256585858667328541444462745235156373573743717886711184383227620866310554776778308655326864888680468285584576867375465877574666766866474626474527183678807672168575584082012844636311753557158731373384634478746872282383437321787731343415465232285243773601784274563868015534208720858766488456855834755338555345327726866884254745228875668866244764487747858187281282816632708858644555248311877476114118835377558858588677677635835874535351127254715821131556666843655578678267624707078472766576377688565487454817757578447776534882885877772587878842604077346552608736682628888684688871181373368511367428635886727881788857855456553515628782682867588768447418775548278278440748888871136478267518746584999999999999999, 0.02127659574468085, 128, 4, 56
444384161652543257227634871525517538243651720276072075768378887455658667328541444462748624456333373743717886711184383227620666310554776778308655326864888680468003587548564854443386544762566248874626427475885678807676835575874082012844646311753576167861343357636458746872284843447321787535285415465332285243773601784274766722765564828660658686448456855834755838555345527726866284254745228675726858252664487747858187281287661127108458644554248266123516414188835377558858588677677635435874535346727254715821131641826826876778678267624707078472766876377686565487457117775675445476534882775682777827444842604077346552608736682628868584688871186373528611347768538266727881788857855456553515628782682867588768447418775548278278440748888871136478267518746584999999999999999, 0.037037037037037035, 140, 8, 68
444384161652543257227634871525517538243651720276072075768378887455658667328541444462748624456333373743717886711184383227620666310554776778308655326864888680468003587548564854443386544762566248874626427475885678807676835575874082012844646311753576167861343357636458746872284843447321787535285415465332285243773601784274766722765564828660658686448456855834755838555345527726866284254745228675726858252664487747858187281287661127108458644554248266123516414188835377558858588677677635435874535346727254715821131641826826876778678267624707078472766876377686565487457117775675445476534882775682777827444842604077346552608736682628868584688871186373528611347768538266727881788857855456553515628782682867588768447418775548278278440748888871136478267518746584999999999999999, 0.037037037037037035, 140, 8, 68
438877143758583246327454717431367584381327668806288050684678256585818654332075114474415235156373524843567115483538787763821626118656756778368644326865888680606285584576867375465877574666766866474686474527183678807672168575584882012844646311433557158731373384634477557722282383437321765531343415566852285668673358662672563868015534208720858766488745645338855335878355357726466884254745228866668866244766447628855877881762816632708858534484868311877476114173453885863585138658868335864574556551183222365115513556666843655577684466672788650026767576377588845447874817757578447746537882885877772587878842704444748666807836562528488684688871181373368511367428635886723517888374873564832667262782682867588768447418775548278278440748888871136478267518746584999999999999999, 0.045454545454545456, 132, 8, 36
438877143758583246327454717431367584381327668806288050684678256585818654332075114474415235156373524843567115483538787763821626118656756778368644326865888680606285584576867375465877574666766866474686474527183678807672168575584882012844646311433557158731373384634477557722282383437321765531343415566852285668673358662672563868015534208720858766488745645338855335878355357726466884254745228866668866244766447628855877881762816632708858534484868311877476114173453885863585138658868335864574556551183222365115513556666843655577684466672788650026767576377588845447874817757578447746537882885877772587878842704444748666807836562528488684688871181373368511367428635886723517888374873564832667262782682867588768447418775548278278440748888871136478267518746584999999999999999, 0.045454545454545456, 132, 8, 36
444386161652543246327454717431367584381321720276072075768388887455618654332075114474418624456333324843567115483538787263821626118656756778368644326865888680606003587548564854443386544762526248874626427475885678807676135575874082012844646311753576167871343357636457557822284845447321765535285415566852285668673358662672766722765564828660658686448745645338855835878355357226466284254745228626726858252666447628855877881767661127108458534484868266123516414173453885863585138658868335464574556546783222365115513641826826876777684466672688650026767876377586845447857118775675445445537882775682777827444842704444748666807836562528468584688871186373528611347768538266723517848374873564832667262782682867588768447418775548278278440748888871136478267518746584999999999999999, 0.057692307692307696, 148, 12, 48
444386161652543246327454717431367584381321720276072075768388887455618654332075114474418624456333324843567145483538787263821626118656756778368644326865888680606003588548564854443386544762526248874626427475885678807676135565874082012844646314753576167871343357636454558822284845447321765535215415566852285668673358662672766722765564828660658686447745645338855835878355357226466284254745228626726858252666477628855877881767661127105458534484868266123516414173453885863585138658868335464574556546783222365115513641826826876777674466672688650026767876377586845447857117775675445445537882775682777827444842704444748666807836562528468584688871186373528611347768538266723817848374873564832667262782682867588768447418775548278278440748888871136478267518746584999999999999999, 0.057692307692307696, 148, 12, 48
444385161652543246327454717431367584381321720876072075768388887455618654332075114474418624456333324843567515483538787263821626118656756778368644326865888680606003587548564854443386544762526248874626427475885678807676135575874082012844646311753576167871343357636457557822284845447321765535285415566852585668673358662672766722765564828660658687488745655338855835878355357226866284254745228626726858252666447628855877881767668127108458534484868266123516414173453885863585138658868375464574556546783222365115518641826826876777684462672688600026767876377586845447857118775675445475537882775682777827444842704444748666807836562528468584688871186313528611347768538266723517848374873564832667262782682867588768447418775548278278440748888871136478267518746584999999999999999, 0.057692307692307696, 148, 12, 48
444385161652543246327454717431367584381321720876072075768388887455618654332075114474418624456333324843567515483538787263821626118656756778368644326865888680606003587548564854443386544762526248874626427475885678807676135575874082012844646311753576167871343357636457557822284845447321765535285415566852585668673358662672766722765564828660658687488745655338855835878355357226866284254745228626726858252666447628855877881767668127108458534484868266123516414173453885863585138658868375464574556546783222365115518641826826876777684462672688600026767876377586845447857118775675445475537882775682777827444842704444748666807836562528468584688871186313528611347768538266723517848374873564832667262782682867588768447418775548278278440748888871136478267518746584999999999999999, 0.057692307692307696, 148, 12, 48
