Genome, Fitness, Wins (O), Losses (O), Draws (O)
344241875446556077544134286411211525641355675307403856554342656632278348284445584284668657447775632256733731555778387283538832668627285328267554585415202574004202575586364848465827472667564657644827462778875661658768120561882518063452671368142465185785448453888664447775842747454821765735311461626268275786663258564778243876575560770728685684687845855774856838458765427258887847774775626822578626464668588247755585727722661237781854888555645265862471711871134578857588783674677665435854554381682854713811813755666566855674824467666607070472866578885676864444857147757618457475337582875677757827848452604077746552888738686524488578685358576173528511446463658866773887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.011560693641618497, 552, 10, 303
344241875448556077544164284411211525641355675307403856554342656632278348284445484284668657447775632256737731555778385283538832668627285328267554585415202574004202575486364848465827442667564657644827462778875661658768120761842518063452671368142465185735448453888664447775842767454821765735311461626268275786663258564778543876575560770728685684687845655774856838458755427258487887774775626822578626464668588227755585727722661227781854888555645265862471711871134578857588783674673665435854554381682854713311813755666566855674824467666607050472866578885676864444857147757618457476337582875677757827848452604077746552888738686524488578685358576173528511446463658866773817888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.011560693641618497, 552, 10, 303
344241875440556077544164286411211525641355675307403856554342656632278348234445484284668657447775632256737731555778385283538832668627285328267554885415202574004202575586364848465827472667564657644827462778875661658768120761882518063452671368142465185735448453888664447775842767454821765735311461626268275786663258564778743876575560870228685684687845655734856838458765427258487844774775626822578626464668588227755585727722661237781854888555645265862471711871134578857588783674673665435854554381682854713811813755666526855674824467666607550472866878885676864444857147757618457476337582875677757827848452604077746552888738686524888578685358576173528511446463658866773887888877873566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.011560693641618497, 552, 10, 303
344241875446556077544134286411211525641355675307403856554342656632278348284445584284668657447775632256733731555778387283538832668627285328267554585415202574004202575586364848465827472667564657644827462778875661658768120561882518063452671368142465185785448453888664447775842747454821765735311461626268275786663258564778243876575560770728685684687845855774856838458765427258887847774775626822578626464668588247755585727722661237781854888555645265862471711871134578857588783674677665435854554381682854713811813755666566855674824467666607070472866578885676864444857147757618457475337582875677757827848452604077746552888738686524488578685358576173528511446463658866773887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.011560693641618497, 552, 10, 303
344241875440556077544164286414211535641255675307403856554342656632278348284445484284668657447775632256733731555778385283538832668627285328267554585415202574004202575586364848465827442667564657644827462778875661658768120761842518063452671368142465138735448453888664447775842767454821765735311461626268275786663258564778743876575560770728685684687845655734856838458765427258487844774775626822578626464668588227755585727722661237781854888555645265862471711871134578857588783674673665435854554381682854713811813755666566875678824467666607550472866878885676864444857147757618457476337582875687757827848452604077746552888738686524488578685358576173528511446423658866773887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.012004801920768308, 536, 10, 287
344241875448556277544164286411211125641355675307403756554342656232278778388475485282465667747775532256737771555778355287538362661627285328267555585415202577604202585586364848465827472662564657664827464778875661658768120561842518063456671368142465185735448457885664747775842767454821765725311461126268275786673288564778243876575560770728685684687845855774856335458765325277467888774775626822578626264668588227755585287722651227181856888555645265862471711871134578657588783574673665445834554381682854713811513755666566855674824487676607000420866578885676864444857117757618445476337582885677757827878442674077746552888738686524868578285358576173568511446463658866773887888877373564532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.014823261117445839, 561, 13, 303
344041125688556645545164234118211328631355675327403756654327656662278578624475486214468657743745534477137711755772385286538362668627285328267554583415006584804202775586368843465824472762564657644627462568875661658876860161844418063442631388852465185835443457688764747725842785753838765723381667186268275786663258562778223076575550770722888684687848456774856838453765527277467888474475866822578626464668588227755585227722851227181858888555645265863471771611133578857588783674673665445854554688682852713811813755666566855774824467676667050472866578885676864444857117755618455476337582885687657828874442674077746552888738686524888678285358176173568511446463658866773887888877373564532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.015531660692951015, 496, 13, 328
344241875448556077544164286411211525641355675307403856554342656632278348284445484284668657747775632256737731555778385283538832668627285328267554585415202574004202575586364848465827472667564657644827462778875661658768120561842518063452671368142465185735448453888664447775842767454821765725311461626268275786663258564778243876575560770728685684687845855774856838458765427258487887774775626822578626464668588227755585727722661227181854888555645265862471711871134578857588783674673665435854554681682854713811813755666566855674824467676607070472866578885676864444857147757618457476337582875677757827848452604077746552888738686524488578685358576173528511446463658866773887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.016184971098265895, 550, 14, 301
344241875448557077544164286411211525641355675307403856554342556632278348274445484284668657747775632256737731555778385283538832668627285328267554585415202574004202575586364848465827472667564657644827462778875661658768120561842518063452671368142465185735448453888664447775842767454821765725311461626268275786663258564778243876575560770728685684687845855774856838458765427258487887774775626822578626464668588227755585727722661227181854888555645265862471711871134578857588783674673665435854554688682854713811813755666566855674824467676607070472866578885676864444857147757618457476337582875677777827848452604077746552888738686524488578685358576173528511446463658866773887888377373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.016184971098265895, 550, 14, 301
344241875448556077544164286411211525641355675307403856558342656632268348284445484284668657747775632256737771555778355287538362668627285328267555585415202577004202585586364848465827472667564657664827464778875661658768120761842518063456671368142465185735448457888664447775842767454821765725311461626268275786663258564778243876575560770728685684687845855774856835458765325258487887774775626822578626264668588227755585287722651227181856888555645265862471711871134578877588783674673665445854554381682854713811513755666566855674824487676607000420866578875676864444857117757618457476337582875677757827878452674077746552888738686524868578285358576173568511446463658866773887888877373564532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.016184971098265895, 550, 14, 301
344241875448556077544164286411211525641355675307403856558342656632268348284445484284668657747775632256737771555778355287538362668627285328267555585415202577004202585586364848465827472667564657664827464778875661658768120761842518063456671368142465185735448457888664447775842767454821765725311461626268275786663258564778243876575560770728685684687845855774856835458765325258487887774775626822578626264668588227755585287722651227181856888555645265862471711871134578877588783674673665445854554381682854713811513755666566855674824487676607000420866578875676864444857117757618457476337582875677757827878452674077746552888738686524868578285358576173568511446463658866773887888877373564532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.016184971098265895, 550, 14, 301
344241875448557077544164286411211525641355675307403856554342556632278348284445484284668657747775632256737731555778385283538832668657285328267554585415202574004202575586364878465827472667564657644827462778875661658768127561842518063442671368142465185735448453888664447775842767454821765725311461626268275786663258564778243876575560770728685684687845855774556838458765427258487887774775626822578626464668588227755585727722661227181854888555645265867471714171134578857588783674673665434854554681682854713811813755666566855674824467676607070472866578885676864444857147757618457476337582885677777827848452604077746552888738686524488578685358576173528511446463658866773887888877373566532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.016184971098265895, 550, 14, 301
344241875448556077544164286411211525641355675307403856534342656632268348284445484284668657747775632256737731555778155287538836668627285328267555585415202574004202575586364848465827472667564657684827462768875661653768120761842518063452671368142465185735448453888664447775842767454821765725311461626268272786663258564778243876575560770728685684687845655774856838458765427258487887774775626822578626264668588227755585287722661237181854888555645265862471711871134578877588783674673665435854554381682854713811513755666566855674824487676607000420866578885676864444857147757618457476337582875677757827848452674077746552888738686524488578685358576173568511446463658866773887888877373564532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.016184971098265895, 550, 14, 301
