Genome, Fitness, Wins (O), Losses (O), Draws (O)
544741874788507542267168336444313228641315875300788205734378256662776568333877181784468654148375674277357736185772485887528822678827676278307458326485656574404703578646368548446554477662265658687267472778878661608772860564882068044452671168152365735765873857638664766723558885457831365115314467465863683546663248868766245076575560720788675684485445456733787838878764327278447828774475266726578824662666688626755585227722861232851158838554648411627511713171134388853585788574668661444538744688687832743831813775262823855674882287276000070402867836385576564884854117755618447476334582885687757528878452606477736552687736686524868588685358571173528511447423658286723517848857373554532565662767686867588768447418775548278278440748888871136478267518746584999999999999999, 0.14935822637106183, 368, 128, 361
544741874788507542267168336444313228641315875300788205734378256662776568333877181784468654148375674277357736185772485887528822678827676278307458326485656574404703578646368548446554477662265658687267472778878661608772860564882068044452671168152365735765873857638664766723558885457831365115314467465863683546663248868766245076575560720788675684485445456733787838878764327278447828774475266726578824662666688626755585227722861232851158838554648411627511713171134388853585788574668661444538744688687832743831813775262823855674882287276000070402867836385576564884854117755618447476334582885687757528878452606477736552687736686524868588685358571173528511447423658286723517848857373554532565662767686867588768447418775548278278440748888871136478267518746584999999999999999, 0.14935822637106183, 368, 128, 361
744584244522852065574438236448313285663215825572480205654428577757853548683747181866468638658486623446153736113133434663631472835476656875307450326445782560062603548436787548485454874682224867545224662478818665658768165721874518063452111381732876565735453853888664757823252385473838367725344657561856676783676658662866768066776760748286676687677758656773887833878363527256446828474745862725778866266866688768385885828126861187155146644554668365172476734818825887657851183578647661844858556681687333715815838556266042656687874267266008050476866536387676564884877848757618457775334582885682672827878454606474336566887788686624888674285851576172568565447423655866727817848877853554832515668762686867588768447418775548278278440748888871136478267518746584999999999999999, 0.16484848484848486, 297, 136, 392
744584244522852065574438236448313285663215825572480205654428577757853548683747181866468638658486623446153736113133434663631472835476656875307450326445782560062603548436787548485454874682224867545224662478818665658768165721874518063452111381732876565735453853888664757823252385473838367725344657561856676783676658662866768066776760748286676687677758656773887833878363527256446828474745862725778866266866688768385885828126861187155146644554668365172476734818825887657851183578647661844858556681687333715815838556266042656687874267266008050476866536387676564884877848757618457775334582885682672827878454606474336566887788686624888674285851576172568565447423655866727817848877853554832515668762686867588768447418775548278278440748888871136478267518746584999999999999999, 0.16484848484848486, 297, 136, 392
544744364488507082267168334448213222741615875300788205734587888656752268686757161784468654148335654227151846183778415332528822678727776278307454525412656204074783578648338548465858477682668646586684224778878661608772860561874552762642477168152465135681385337886775766723258765633838555115314467465863683542673388568766278878588522720788675684485756454778557835455763485276866727455546268722766866666876684747388817781226651282155816588554648411627566413183425878657881133337467661834573744688687832743825138555262823755678882486264000070076787536385576564884874118755618447475537885885687757528878452606477746552608736666524868588685358186373368665346723658286723581848357873554532565662767886867588768447418775548278278440748888871136478267518746584999999999999999, 0.17667844522968199, 488, 150, 211
544744364488507082267168334448213222741615875300788205734587888656752268686757161784468654148335654227151846183778415332528822678727776278307454525412656204074783578648338548465858477682668646586684224778878661608772860561874552762642477168152465135681385337886775766723258765633838555115314467465863683542673388568766278878588522720788675684485756454778557835455763485276866727455546268722766866666876684747388817781226651282155816588554648411627566413183425878657881133337467661834573744688687832743825138555262823755678882486264000070076787536385576564884874118755618447475537885885687757528878452606477746552608736666524868588685358186373368665346723658286723581848357873554532565662767886867588768447418775548278278440748888871136478267518746584999999999999999, 0.17667844522968199, 488, 150, 211
744768144420353782567763336438213265312615875354223050654328486786613568334877576764415428148775654277151148781772715287827325821757776286606460682482656574022223678646365848446557775682668667545224224425727765608176665164882062084452676343432465735765353854538674468727388783634121367515814615478252685246666348588666248076765524726028885687687446456733887855458755487276864228454746868722776224452666688628355875887782811182805846838885828385123511714818425868857685588574668664445554555681687834311111858775262823655778888487276080650476866536375578564884474817755618447776554882785682772887478442706444746566687888666528467588668871586113568561466763655286773587888374373556532515668867886867588768447418775548278278440748888871136478267518746584999999999999999, 0.18872266973532797, 419, 164, 286
744768144420353782567763336438213265312615875354223050654328486786613568334877576764415428148775654277151148781772715287827325821757776286606460682482656574022223678646365848446557775682668667545224224425727765608176665164882062084452676343432465735765353854538674468727388783634121367515814615478252685246666348588666248076765524726028885687687446456733887855458755487276864228454746868722776224452666688628355875887782811182805846838885828385123511714818425868857685588574668664445554555681687834311111858775262823655778888487276080650476866536375578564884474817755618447776554882785682772887478442706444746566687888666528467588668871586113568561466763655286773587888374373556532515668867886867588768447418775548278278440748888871136478267518746584999999999999999, 0.18872266973532797, 419, 164, 286
744768644420353782567163336438213265342615875354223050654328486786613568334877576764415424148775654277151848781772415287827325821757776286607460662482656574022223678646365848446557775682668667545244224425727765608172665164882062084452676383432465735765353854538674468727382783634121367515814615478256585246666248588666248076765524726028685687687446456733885855458755487276864228454746868722776224452666688628355875887782811182855846838884668385173511714818425868857685588574668661444554555681687832311117858555262823655778888487276080650476866836375578564884474817755618447776554882785882772887478442706444746566687888666528468588668871586113568561466763655286773587888374873556532515668867886867588768447418775548278278440748888871136478267518746584999999999999999, 0.19217491369390102, 413, 167, 289
744768644420353782567163336488213265342615875352223050654328486786613568334877576764415424148875654277151848781772415287827325821757776286607460662482656574022223678646365848446557775682668667545244224425727775608172667164882062584452676383432465735765353854538674568727282782634121367515814615478256585246666248784668248076765524726028685687687446456733886855458765487276864228454746868722766224452666688628355875887786611182855816838884668386173511714678425568857685588374668661444554555681687832311817858555262823655778888487276080650472866836375578864884474817775618447776554885785882772887478442706444746566687888566628468588668871586112568561466763655286773587888374873556532515668867886867588768447418775548278278440748888871136478267518746584999999999999999, 0.19217491369390102, 453, 167, 249
