Genome, Fitness, Wins (O), Losses (O), Draws (O)
744041872426556045544164236448213323641355675377403756654342656662776368333045186864468657143745534253737731775711485287538832668627235328307504525485206574204232574546368544585827482662526847687887462728875661658772860164884568063452671368842465185735443857688764747525842785454821785115333471465863675683266248548268723022675560742768685576685445456774556855458745487278487828772475666822578856664668588246755185827722851227105848687554648465662466714671134588857585783674663665445834554688682852713811113755262566855674474287264087670472867536385676564484854817755618457476354582885682757827878442604477736552888738686524888588688378576173528511447463658866773887888877373556532565662867682867588768447418775548278278440748888871136478267518746584999999999999999, 0.05875706214689266, 506, 52, 327
744041872426556045544164236448213323641355675377403756654342656662776368333045186864468657143745534253737731775711485287538832668627235328307504525485206574204232574546368544585827482662526847687887462728875661658772860164884568063452671368842465185735443857688764747525842785454821785115333471465863675683266248548268723022675560742768685576685445456774556855458745487278487828772475666822578856664668588246755185827722851227105848687554648465662466714671134588857585783674663665445834554688682852713811113755262566855674474287264087670472867536385676564484854817755618457476354582885682757827878442604477736552888738686524888588688378576173528511447463658866773887888877373556532565662867682867588768447418775548278278440748888871136478267518746584999999999999999, 0.05875706214689266, 506, 52, 327
744041872426556045544164236448213323641355675377403756654342656662776368333075186864468657143745534253737731775771485287538832668627235328307504525485206574004202574546368544485827482662526847687887462728875661658772860164884568063452671368842465185735443457688764747525842785454121785115333471465863675783266248548268723022675560740768685576685445456774556855458745427278487828772475666822578826664668588246755185827722851227185848687554648465662466714671134588857585783674663665444834554388682852713811113755262566855674474287264087670472867536385676564484854817757618457476354582885687757827878442604477736552888738686524888588685378576173528511447463658866773887888877373556532565662867682867588768447418775548278278440748888871136478267518746584999999999999999, 0.05975197294250282, 491, 53, 343
744041872426556045544164236448213323641355675377403756654342656662776368333075186864468657143745534253737731775771485287538832668627235328307504525485206574004202574546368544485827482662526847687887462728875661658772860164884568063452671368842465185735443457688764747525842785454121785115333471465863675783266248548268723022675560740768685576685445456774556855458745427278487828772475666822578826664668588246755185827722851227185848687554648465662466714671134588857585783674663665444834554388682852713811113755262566855674474287264087670472867536385676564484854817757618457476354582885687757827878442604477736552888738686524888588685378576173528511447463658866773887888877373556532565662867682867588768447418775548278278440748888871136478267518746584999999999999999, 0.05975197294250282, 491, 53, 343
744041872466556077544164236448213323641325674377403756654327656662716568333875184884468650143745533277737731775771485287538832668627235328207554525485206576004202574546368548455827482662526847687887462778875661658876860564884518063452671168842465185735473457684564768825842782444121385115333461485868675743263248548266723078575560720768685586675446856774556858458755427278487828772476666822578824664668588226755185781722851227155148687555648465662416711871134588863555785674663665444834554388632853713811813755262566755674484287264087670072887536385576564484854848757615457476334582885687757827878452604477736562688738686524888578685358576173528511447763658866773887888877373564532565662887682867588768447418775548278278440748888871136478267518746584999999999999999, 0.06131549609810479, 451, 55, 391
744041872466556077544164236448213323641325674377403756654327656662716568333875184884468650143745533277737731775771485287538832668627235328207554525485206576004202574546368548455827482662526847687887462778875661658876860564884518063452671168842465185735473457684564768825842782444121385115333461485868675743263248548266723078575560720768685586675446856774556858458755427278487828772476666822578824664668588226755185781722851227155148687555648465662416711871134588863555785674663665444834554388632853713811813755262566755674484287264087670072887536385576564484854848757615457476334582885687757827878452604477736562688738686524888578685358576173528511447763658866773887888877373564532565662887682867588768447418775548278278440748888871136478267518746584999999999999999, 0.06131549609810479, 451, 55, 391
744047872425556045544164236448213323641355677377403756654342656662776368333085186864468657143745534253737731755771485287538832668627235328307504525485206574004202574546368544485827482662526848667887462728875661658772860164884568063452671368842465185735443457688764747525882785454121785115333471465863675783266248548268723022675562740768685576675445456774556855458745427278487828772475666822578826664668588246755185827722851227185848687554648485662466714671134588857588783674663665444834554388682852713811113755662566855674474287264087670472867536385676564484854817757618457446354582885687757827878442604477738552888738686524888588685378576173528511447463658866773887888877373556532565662867682867588768447418775548278278440748888871136478267518746584999999999999999, 0.06200676437429538, 437, 55, 395
744047872425556045544164236448213323641355677377403756654342656662776368333085186864468657143745534253737731755771485287538832668627235328307504525485206574004202574546368544485827482662526848667887462728875661658772860164884568063452671368842465185735443457688764747525882785454121785115333471465863675783266248548268723022675562740768685576675445456774556855458745427278487828772475666822578826664668588246755185827722851227185848687554648485662466714671134588857588783674663665444834554388682852713811113755662566855674474287264087670472867536385676564484854817757618457446354582885687757827878442604477738552888738686524888588685378576173528511447463658866773887888877373556532565662867682867588768447418775548278278440748888871136478267518746584999999999999999, 0.06200676437429538, 437, 55, 395
744041877428556045544164236418211323641355675377403756654342656662878548684475186864468657143745534277837731775778785287538832668627235328307558375475606574004782544546368548455827472668524657647887462778875661658772120564884518063442171768842465185735443457688764747525842785453821785125311667486256685786663258564768723076575560770682685686687845454874756838453765427278467888474775666822578826264668588226755185227722851227185158687554648265662466714673134588857585783674663665434834554681682852713811113755262566856774822487676008050472866578885676564444857117757618455476354582885687657887878442604477736552888738686524888588685378576173528511447463658866773887886877373556832565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.06270996640537514, 527, 56, 310
744041875428556075544164236418211588641355675307403756654327656662878548684475185884468457748745534277137731775778785287538833668677655328307558375475606574004782544546368548455827472662524657647827462778875661658772130564884518063442171168152866565735373853888635761825842785453837765725311667486256685786663258564768723076575560770782685686687845454874756838458764427278487888474775666822578626464668588226755185227722851232181858887554648465862474714873134585853885783574673665434834554681682852713811813755876566856774822487676008050472866578885676564444857117757618455476334582885687757887478442604477736552888736686524868684685858576113568611446423658866773887888877373564832565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.0627177700348432, 499, 54, 308
744041875428556075544164236418211588641355675307403756654327656662878548684475185884468457748745534277137731775778785287538833668677655328307558375475606574004782544546368548455827472662524657647827462778875661658772130564884518063442171168152866565735373853888635761825842785453837765725311667486256685786663258564768723076575560770782685686687845454874756838458764427278487888474775666822578626464668588226755185227722851232181858887554648465862474714873134585853885783574673665434834554681682852713811813755876566856774822487676008050472866578885676564444857117757618455476334582885687757887478442604477736552888736686524868684685858576113568611446423658866773887888877373564832565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.0627177700348432, 499, 54, 308
744041875428556075544164236418211588641355675307403756654327656662878548684475185884468457748745534277137731775773785287538833668677655328307558475475606574004782544546368548455827472667524657647827462678875661658772130564884518063442171168152866565735373853888635761825844785453837755723311667486256685786663258564768723076575560770782685686687845454874756838458764427278487888474775666822578666464668588226755115227722851233181858687554648465862476714873134585853885783574673665434834554681682852713811813755676566856774822287676008050472866578885676564444857117757618455476334582885687757887478442604477736552888736686524868684685858576113568611446423658866773887888877373564832565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.0627177700348432, 499, 54, 308
744041875428556074544164236418211588641655675307403756654327656662878548684475185884468457748745534277137731775778785287538833668677655328307558375475606574004782544546368548455827472667524657647827462778875661658772130564884518063442171168152866565735373853888635761825842785453837765725311467586256685786664258564768726076575560740782685686687845454874756338458764427278487888474775666822578626464668588226755185227722851232181858887554648465862474714878134585853885783574673665434834554681682852713831813755876562856774822487676008050472866578885676564444857117757615455476334582885687757887478442604477736552888736686524868684688858576113568611446423658866773887888877373564832565662862886867588768447418775548278278440748888871136478267518746584999999999999999, 0.0627177700348432, 499, 54, 308
744041872766556745744163536448213325641355675300403756654327656662776568333875486884468657748745533277737731773778285287537832668627235628307554585415200574008202574546368548455824482662526447687827462778875661658772860564848518063452671148842465185835443854688754768825842883434121188115334461165863685743263248548278723076575560746768685576685446456374556858458765425278487728774476666822578826664868588226755185827722151127185858887554648465172474711871154588853585783674663665444834554388632852713835813755262566855684484287264080670472767576385676844484854817757618457476354582885687757827848442604477736552888738682524888588685378576173521511447463658866773887888877373556532665662867682867588768447418775548278278440748888871136478267518746584999999999999999, 0.06368715083798883, 491, 57, 347
744041872766556745744163536448213325641355675300403756654327656662776568333875486884468657748745533277737731773778285287537832668627235628307554585415200574008202574546368548455824482662526447687827462778875661658772860564848518063452671148842465185835443854688754768825842883434121188115334461165863685743263248548278723076575560746768685576685446456374556858458765425278487728774476666822578826664868588226755185827722151127185858887554648465172474711871154588853585783674663665444834554388632852713835813755262566855684484287264080670472767576385676844484854817757618457476354582885687757827848442604477736552888738682524888588685378576173521511447463658866773887888877373556532665662867682867588768447418775548278278440748888871136478267518746584999999999999999, 0.06368715083798883, 491, 57, 347
744041872466556045744163536448213325641355674377403756654327656662776568333875184884468657143745533277737731775771485287538832668627235328207554525485206574004202574546368548455827482662526847687887462778875661658772860564884518063452671168842465185735443457684564768825842782444121385115333461485863685743263248548268723078575560740768685576685446456374556858458765427278487828774476666822578826664868588226755185887722851227185848687554648465662466711871134588853585783674663665444834554388632853713811813755262566755674484287264087670472867576385676864484854817757618457476354582885687757827878442604477736552888738686524888578685358576173528511447463658866773887888877373556532565662867682867588768447418775548278278440748888871136478267518746584999999999999999, 0.0659217877094972, 491, 59, 345
744041872766556077544164236448213323641325675307403756654327656662776568333875586884468657748745533277737731773778785287538832668627235628307554585415206574004202574546368568455824482662526847687827462728875661658776860564848518063452671148842465185878443854688754768825842785434121185135334461165868675743263248548266723076575560720768685586645446656774586858458765425278487828772476666822578824664668588226755185727722851127185848887555648465172474711871154588863885785674663665444834554388632852713835813755262566855684484287264080670472787536385676564487854848757618457476334582885677757527878452604477746562688738682524888588685378576173521511447463658866773887888877373564532565662887682867588768447418775548278278440748888871136478267518746584999999999999999, 0.0659217877094972, 450, 59, 386
744041872766556077544164236448213323641325675307403756654327656662776568333875486884468657748745533277737731773778785287538832668627235628307554585415206574004202574546368548455824482662526447687827462728875661658776860564848518063452671148842465185835443854688754768825842783434121185115334461165868675743263248548266723076575560720768685586675446656774556858458765425278487828772476666822578824664668588226755185727722851127185848887554648465172474711871154588863885785674663665444834554388632852713835813755262566855684484287264080670472787536385676564484854848757618457476334582885687757827878452604477736562688738682524888588685378576173521511447463658866773887888877373564532565662887682867588768447418775548278278440748888871136478267518746584999999999999999, 0.0670391061452514, 449, 60, 386
744041872426556075544163536448213323341355675307403750654627656662772578333875186284468657748745534277737731775771385287538862668627235628387754525485206672004202574546368544485527482662526847687828462778875661658772860564884518063452671168842465185735443857688764767525842785454821385115334461666863655783263248548268723078575568740768685686675446455774786858458745427278487828772475666822578826664668588226755181827722851227185848887854648465662466714871134578853585783674668665444834554388682852713811833755262566855674484227264087650472867536385676564484854817755615457476334582885687757827878442604077736552888786686524888578685358576173568511446463658866773887848877373554532565662867682867588768447418775548278278440748888871136478267518746584999999999999999, 0.0671892497200448, 494, 60, 339
744041872428556075548134236411213323641355675307403755634327656662776578333875181884868657748745534277737731773778785287538832668722235628307554525465206574004002574546368548455827482662526447687827462778875661658772860564884518063452671168842465185735443857688764766525842785454121385115334661165863685743266248548228723076675520722768685686675446456774556853458765427278486828772426666822578826462668588228755185827722851227185848887584648465172474711871134585863585788674668665444534554388682222713817813755262566855674484287264087600472866536885676564884854117757618457476334582885687757827878454604477736552808786686524888588685378576373528511447463658866777887888877373554532565668887682867588768447418775548278278440748888871136478267518746584999999999999999, 0.06815642458100558, 495, 61, 339
744041872428556075548134236411213323641355675307403755634327656662776578333875181884868657748745534277737731773778785287538832668722235628307554525465206574004002574546368548455827482662526447687827462778875661658772860564884518063452671168842465185735443857688764766525842785454121385115334661165863685743266248548228723076675520722768685686675446456774556853458765427278486828772426666822578826462668588228755185827722851227185848887584648465172474711871134585863585788674668665444534554388682222713817813755262566855674484287264087600472866536885676564884854117757618457476334582885687757827878454604477736552808786686524888588685378576373528511447463658866777887888877373554532565668887682867588768447418775548278278440748888871136478267518746584999999999999999, 0.06815642458100558, 495, 61, 339
