Genome, Fitness, Wins (O), Losses (O), Draws (O)
744247875428556045544164236418211588641355675278403755654342656662776778388477486884468655743743634277737771575771475287588832668624285328268554575415206574804782584586388548558427472662528667644827462778875661658776860164854516063442671363852465135835443453888664767525843385454821765125311461576268675786663658564768723876575560770728685686687845855774856838448764427877467888474775666822578626264668588266757175227722851232181856887555648465162464714871134578857588783574673665444834556681682352713811853755666522855684884287264780670420866578885676864444857117757618455476337582885677757827878452604477736552688738686524868578285358576173528511446463658866723887888877373564532565622862886867588768447418775548278278440748888871136478267518746584999999999999999, 0.022857142857142857, 579, 20, 276
744247875428556045544164236418211588641355675278403755654342656662776778388477486884468655743743634277737771575771475287588832668624285328268554575415206574804782584586388548558427472662528667644827462778875661658776860164854516063442671363852465135835443453888664767525843385454821765125311461576268675786663658564768723876575560770728685686687845855774856838448764427877467888474775666822578626264668588266757175227722851232181856887555648465162464714871134578857588783574673665444834556681682352713811853755666522855684884287264780670420866578885676864444857117757618455476337582885677757827878452604477736552688738686524868578285358576173528511446463658866723887888877373564532565622862886867588768447418775548278278440748888871136478267518746584999999999999999, 0.022857142857142857, 579, 20, 276
344241875448556045544164286318211328641355675307403756554327656662278548284475485282468657548745532256737771555571475287538362668624285328267555585415202574004202575586364848465827472667564657644887462578875661658762120561842518063452671368142465185735448457688764547725842767453837765725311461126268275786663258564768223876575560770262685684687845456774857833458765427277467887774775666822578626464668588227755585727722651227181856888555645265862471711871154588857588783674673665435854554688682852711811813755666566855774824467676607000472866578885676864444857147757618455476337582885677757827878442604077746552888738686524888688685358576173528511446463658866773887888877373564532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.022909507445589918, 552, 20, 301
344241875448556045544164286318211328641355675307403756554327656662278548284475485282468657548745532256737771555571475287538362668624285328267555585415202574004202575586364848465827472667564657644887462578875661658762120561842518063452671368142465185735448457688764547725842767453837765725311461126268275786663258564768223876575560770262685684687845456774857833458765427277467887774775666822578626464668588227755585727722651227181856888555645265862471711871154588857588783674673665435854554688682852711811813755666566855774824467676607000472866578885676864444857147757618455476337582885677757827878442604077746552888738686524888688685358576173528511446463658866773887888877373564532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.022909507445589918, 552, 20, 301
744241875428556077544763236411211525641355675307403856554342656662278578284475484284668657748775634277137731555778385283538832668627285328267554585415202574004202575586364548465827475662524657644827462778875661658776860164842518063452671368142465185435443453888664747775842767454821765725311461126268675786663258568268723876575560770728685576687845855774856838458765427278487887774775666822578626464668584227355175227722851227181856888555645265862464714871134578857588783674673665435854554681682854713811813755266522855684884267676607070472866578885676864444857117757618457476337582885682757827848452604077746552888738686524888578285358576173528511446463658866773887888877373564532565662862886867588768447418775548278278440748888871136478267518746584999999999999999, 0.023014959723820484, 558, 20, 291
744241875428556077544763236411211525641355675307403856554342656662278578284475484284668657748775634277137731555778385283538832668627285328267554585415202574004202575586364548465827475662524657644827462778875661658776860164842518063452671368142465185435443453888664747775842767454821765725311461126268675786663258568268723876575560770728685576687845855774856838458765427278487887774775666822578626464668584227355175227722851227181856888555645265862464714871134578857588783674673665435854554681682854713811813755266522855684884267676607070472866578885676864444857117757618457476337582885682757827848452604077746552888738686524888578285358576173528511446463658866773887888877373564532565662862886867588768447418775548278278440748888871136478267518746584999999999999999, 0.023014959723820484, 558, 20, 291
744041875428556077544763236411211588641355675300403755654627656662776578388477176284468677743745634277137731855778385287538862668627285328707507475475626584004202584586368548458427472772584657644827462778875661658772865568842518063452631364842465185735443453888664767525848785454821765725311667686268673786663658548268723876575560770728685576687845855774856838448764427877467888474775666822578664464668588227757181827722861227185848887555648465162464714871134578857855785674673665447833556681682352713811813755266522855684884287264780670420866578885676864484857117757618457476337582885687757827848452604077736552688738586524888578285358576173528511446463658866773887888877373564532565622887686867588768447418775548278278440748888871136478267518746584999999999999999, 0.02418379685610641, 517, 20, 290
744041875428556077544763236411211588641355675300403755654627656662776578388477176284468677743745634277137731855778385287538862668627285328707507475475626584004202584586368548458427472772584657644827462778875661658772865568842518063452631364842465185735443453888664767525848785454821765725311667686268673786663658548268723876575560770728685576687845855774856838448764427877467888474775666822578664464668588227757181827722861227185848887555648465162464714871134578857855785674673665447833556681682352713811813755266522855684884287264780670420866578885676864484857117757618457476337582885687757827848452604077736552688738586524888578285358576173528511446463658866773887888877373564532565622887686867588768447418775548278278440748888871136478267518746584999999999999999, 0.02418379685610641, 517, 20, 290
744041875428556077544763236411211588641355675300403755654627656662776578388477176284468677743745734277157731855778385287538866668627285328707507475475626584004202584586368548458427472772584657644827462778875661658772865568842518063452631364842465185735443453888664767525858785454821765725311667686268673786663658548268723876575560770728685576687845855774856838448764427877467888474775666822578664464668584227757181827722861227185848887555648465162464714871134578857855785674673665447833556681682352713811813755266522855684884287264780670420867578885676864484857117757618457476337582885687757827878452604077736552688738586528888578285358576173528511446463658866773887888877373564532565628887686867588768447418775548278278440748888871136478267518746584999999999999999, 0.02418379685610641, 517, 20, 290
744241875428556045544164286318211325641355675307403756554342656662278578284475484284668657748745532253737771555571475283538832668624285328267554585415202574004202575586364548465827472662524657644887462778877661658776860164442518063452671368142465185835443453888764747725842767453837765725311461126268675786663258564768223076575560770762685684685845456774856838458765527278487887774775666822578626264668588266755175227722851227181856888555645265862471711871154588857588783674673665435854554681682852713811813755666566855774824467676607070472866578385676864444857117757618455476337582885677757827878452604077746552888738686524888688685358576173528511446463658866773887888877373564532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.024971623155505107, 554, 22, 305
744241875428556045544164286318211325641355675307403756554342656662278578284475484284668657748745532253737771555571475283538832668624285328267554585415202574004202575586364548465827472662524657644887462778877661658776860164442518063452671368142465185835443453888764747725842767453837765725311461126268675786663258564768223076575560770762685684685845456774856838458765527278487887774775666822578626264668588266755175227722851227181856888555645265862471711871154588857588783674673665435854554681682852713811813755666566855774824467676607070472866578385676864444857117757618455476337582885677757827878452604077746552888738686524888688685358576173528511446463658866773887888877373564532565662862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.024971623155505107, 554, 22, 305
