Genome, Fitness, Wins (O), Losses (O), Draws (O)
744556831322857055244438336448313222741615875358660306434828586787613548683547181864415464128488554277353736185778415285828822878757775288380044586482656574074232678646388548546524872282224867545224224425578751608778865121874558063452736381432586765735673857838664767825582763633888587511814775468856676782666380648676743766676830208286685587677758455733887858878764527276447887475778868775765866466866648768858817711126651282851856838484668385177471434818824868658858163337667365834573555348727833311115838556266062756677674266264000500070787536385588564884477847857675847775537885775672672827478442706044336566887786666564868588665851576313568565446463658286723881888857873454853565622867686867588768447418775548278278440748888871136478267518746584999999999999999, 0.3102232667450059, 267, 264, 320
744556831322857055244438336448313222741615875358660306434828586787613548683547181864415464128488554277353736185778415285828822878757775288380044586482656574074232678646388548546524872282224867545224224425578751608778865121874558063452736381432586765735673857838664767825582763633888587511814775468856676782666380648676743766676830208286685587677758455733887858878764527276447887475778868775765866466866648768858817711126651282851856838484668385177471434818824868658858163337667365834573555348727833311115838556266062756677674266264000500070787536385588564884477847857675847775537885775672672827478442706044336566887786666564868588665851576313568565446463658286723881888857873454853565622867686867588768447418775548278278440748888871136478267518746584999999999999999, 0.3102232667450059, 267, 264, 320
144768644288555744568164486545356763182561684200683865667377256232776568333877576786428735446773628823111718455133481667631875838486752275377060622475208274600620547585884768363877477662625658687844776527117725653763860764582062084852671168452465735681485457886767468583254885474121365115313667465868283243666248568766248078575524722028775684677446454344557875458754588776866228454476276765728624452668687646755587217726861623105418644584268315673511713181454388857585788574668661444558534688687832743817813775262823685678882487276000050472887538385576564884874117755518857446557582887677757528878442706477746566688838586624468674268878586172528561446468658286523517848354873556532517262782686867588768447418775548278278440748888871136478267518746584999999999999999, 0.3295324971493729, 491, 289, 97
144768644288555744568164486545356763182561684200683865667377256232776568333877576786428735446773628823111718455133481667631875838486752275377060622475208274600620547585884768363877477662625658687844776527117725653763860764582062084852671168452465735681485457886767468583254885474121365115313667465868283243666248568766248078575524722028775684677446454344557875458754588776866228454476276765728624452668687646755587217726861623105418644584268315673511713181454388857585788574668661444558534688687832743817813775262823685678882487276000050472887538385576564884874117755518857446557582887677757528878442706477746566688838586624468674268878586172528561446468658286523517848354873556532517262782686867588768447418775548278278440748888871136478267518746584999999999999999, 0.3295324971493729, 491, 289, 97
844741844540307382236626785144352143684257437554428073634587848257855748236555866784468638667476623256151638734113285362610235818476676675307450426445282564084502548588755863468857477682668646486684424628878665678158165714552852764642437743823466555688677443566665757885533785474831367725344657565868285266666308562776248078585060720726856586447446454774555835455763587278744828474446868722776224452666688628385875828782111127105856587574668415673516773681825887557881185578848661834858534681687333715821818545672562886778888487266007050476866538387676564884877117755618447775357882785887757528878452606477746552688736686624868674665351186373361665346723655266727587848874873554832515268867886867588768447418775548278278440748888871136478267518746584999999999999999, 0.3425814234016888, 431, 284, 114
844741844540307382236626785144352143684257437554428073634587848257855748236555866784468638667476623256151638734113285362610235818476676675307450426445282564084502548588755863468857477682668646486684424628878665678158165714552852764642437743823466555688677443566665757885533785474831367725344657565868285266666308562776248078585060720726856586447446454774555835455763587278744828474446868722776224452666688628385875828782111127105856587574668415673516773681825887557881185578848661834858534681687333715821818545672562886778888487266007050476866538387676564884877117755618447775357882785887757528878452606477746552688736686624868674665351186373361665346723655266727587848874873554832515268867886867588768447418775548278278440748888871136478267518746584999999999999999, 0.3425814234016888, 431, 284, 114
644268571287555747564664488547316763682561666280683865667347857232773562873575566786428235145753623823386518415133431666631835838456755235308640628475278674600200587578384568365876477662568658647844772527117725653763860764682062084862671163442865533881383857886467438583254885447831365138314655565362283743266600868776248088018524726068775686477446454344556575458764585776846227454476276762628624452664688646758587217226661122105114848584668216873611771181434378873581738534668661834853534688687832741815113775263823685678488482276008650472887838887586565884857117757678455446557582887887752587478842706477746562688738686624468674665371586372528661366468538287527587846354873556532667228762886867588768447418775548278278440748888871136478267518746584999999999999999, 0.3580683156654888, 426, 304, 119
644268571287555747564664488547316763682561666280683865667347857232773562873575566786428235145753623823386518415133431666631835838456755235308640628475278674600200587578384568365876477662568658647844772527117725653763860764682062084862671163442865533881383857886467438583254885447831365138314655565362283743266600868776248088018524726068775686477446454344556575458764585776846227454476276762628624452664688646758587217226661122105114848584668216873611771181434378873581738534668661834853534688687832741815113775263823685678488482276008650472887838887586565884857117757678455446557582887887752587478842706477746562688738686624468674665371586372528661366468538287527587846354873556532667228762886867588768447418775548278278440748888871136478267518746584999999999999999, 0.3580683156654888, 426, 304, 119
284627185326281277385174514815658236662251437574458305783425644262855748236585871128673778143778634337861638834784457725861234168476682626577508863283205064408525685487758854468524584752588227886684424628188665688158165771472418742447136818143476158488643755486457156727248783653521165723384561478262272246423688647668266663585064220606856567645858856343586335855763388727784748772576662826525864464854674668365181887786811283801846638874620466673514173873434875877555785358847365445538456686783823345821818671826846686578622267666680672222786538885686844844477148777578855475337885775882672528448442604474336666608886666664488674268378571112321511466763535286727511746354373564832517662762646867588768447418775548278278440748888871136478267518746584999999999999999, 0.36304062909567497, 235, 277, 251
084528844588501277365174516843316685662257437580488805783425844456772778778588581882824735747774672853181518411133434667637872831762255282687085526842205204600603545446737854463478574762526226445627476778885751853766167775484583742447136143726466555688377443868755766523254385472831365111314711128282572243274688668766248078578528242288676686485755855843856558443754488727866228454476276726776824666666448248885885828266861227155146648584668415627461713181434877877585788557647671844858754686727832741337851675863822685668888282276000000476786576885676844884877117757618857446534582885687752528874452706477736566608788666664868674685351181173568511466463535286527517848877375564832515668762686867588768447418775548278278440748888871136478267518746584999999999999999, 0.3642072213500785, 323, 232, 82
