Genome, Fitness, Wins (X), Losses (X), Draws (X)
434651717578333288334177758341876734366377866874476746883358876586813554643041177216728678647676423233863875578711431325138676815826736636246588675684226582062005648887364563445584824757665255445867752468725725883178735165652583867452738113725568863875848334454638758573844383754813158318383467686683283668672640778724775862585752006780676564847756686378756573545553485828867288475446862866668226444878547247755117221762856682785448587477668465177561713681425588853658763338668634437353556348722254343317533746866542678784888726274708578472767536377686564487854817757615845775537885877682677828848452606477746656887888662668468574265871586113368661446423655887727817848377375556852665262762842867588768447418775548278278440748888871136478267518746584999999999999999, 0.08064516129032258, 176, 20, 52
434651266778221288374177758341876778884568425804888753483578872256276357746741177216728678647848423233163875578711431325138676810868577272348588625684226582062005648887364563445584872682784245677867252468725725853156625175652583864452137741835568868684383345434638758577884383754323165513345515186683283668672280778724528626578822006780676564847756686378756573545553485828866288475446868866668226444878547247755517718267666127708158687484225465177561713681425588877551163338668634437353556348722254343315133746866542678784888726264688508476786536377686564487854817755615845775337885887882672588848452606477746656887888662668468574265871171372528565467763655887727817848857373456852517668862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.12727272727272726, 164, 28, 28
434651266778221288374177758341876778884568425804888753483578872256276357746741177216728678647848423233163875578711431325138676810868577272348588625684226582062005648887364563445584872682784245677867252468725725853156625175652583864452137741835568868684383345434638758577884383754323165513345515186683283668672280778724528626578822006780676564847756686378756573545553485828866288475446868866668226444878547247755517718267666127708158687484225465177561713681425588877551163338668634437353556348722254343315133746866542678784888726264688508476786536377686564487854817755615845775337885887882672588848452606477746656887888662668468574265871171372528565467763655887727817848857373456852517668862882867588768447418775548278278440748888871136478267518746584999999999999999, 0.12727272727272726, 164, 28, 28
473124273305535556544177878815231146212664855824050308878648586558775644624416475281428230163775382251183546771371251866335273170524688732747764372473276226026287884647757745746884822777288455564664456545528826157763828665588086563856478743753466787834878437565774558527834317432517315315885677421662202262233308582778623072568550276268775667487445656338855378548343588226467224472776826675765628464656447626358581827767661182755144587475260315167671413813854368653688168338677334364378734681783252213111818656276826676567484462624060602000886838377688844447857848857515857475354882775687757587478852606074346566808736586624468678665358586312321565466428638286573881748354853564532665262762886867588768447418775548278278440748888871136478267518746584999999999999999, 0.13043478260869565, 128, 24, 32
480081717528333535646738536471883634766377866874276746883348876586813554643081885811813565527676682473581136535738771763538844315826736636646580848673082200022030765537868375388328724757665255445888776665515256883178735161456418867867138113722565883875848334454735567383844313753313158378383467666688585666636685642268775882585752872008888686887455444843857578443544557856767788772526666662678826464854588747765587221762856622785448587477668416127474133878835378553658738377847864845838454641782334715137511571662062785668674726274708052472767836875586544887854847757615445775557885877682677828874852676444336666807786586528867588685871586112368661446428658886723511748377375556852665262767642867588768447418775548278278440748888871136478267518746584999999999999999, 0.1506849315068493, 220, 44, 28
434651717578333288334177758341876734366375876824823058477886472572713574643818414482115750467756374833535145178434457625138326330662765858788748675684226582062005748888857745356886882787665255445867752468725728883178735165652583867467438113725568863875848334454634738575533862153313755373315467688662573762274551872886728662068752078780678564847756686378756535878754427278766788475446278676668226444878544247855117221762856682885154887584660381662561134188123865578658763338668635467378755351737354763325151656866542686567428726624680072222766876885586565444854817757675845775557522887887777588844442706477746656887888686568468574265878581373528661446423655887727887848377375554852617262762842867588768447418775548278278440748888871136478267518746584999999999999999, 0.15492957746478872, 160, 44, 80
434651717578333288334177758341876734366375876824823058477886472572713574643818414482115750467756374833535145178434457625138326330662765858788748675684226582062005748888857745356886882787665255445867752468725728883178735165652583867467438113725568863875848334454634738575533862153313755373315467688662573762274551872886728662068752078780678564847756686378756535878754427278766788475446278676668226444878544247855117221762856682885154887584660381662561134188123865578658763338668635467378755351737354763325151656866542686567428726624680072222766876885586565444854817757675845775557522887887777588844442706477746656887888686568468574265878581373528661446423655887727887848377375554852617262762842867588768447418775548278278440748888871136478267518746584999999999999999, 0.15492957746478872, 160, 44, 80
060647242650425638545267438773372638232351750220872850857526264765675548673451166122474257563683755738366785414578273265861275211822282836548587363443772064084253664675837354768576577857524627577724774525523256208713865161686066847844717318142386137775845457656658536572543317673883188733734611181366553666463280567288245728776030802208755584647778446343785358878745385776467227725748622876728256646666588266388815827266818237755454584885640216167564171183824878567678733657877371464534456348632852213117551771862543685764672482822060602206866578375588564844477817857675447475337582887672652827844454604474738562888886686528887574268358571113361661366723635887523511788877873556852617668782886867588768447418775548278278440748888871136478267518746584999999999999999, 0.16996047430830039, 161, 43, 49
473184273302866547884177878814338583212664856824050325878448586558365644624416475281428230726683355327815171555488454883831645128476567278305654468412725502272657544675857745746884822777288455564624456548785775687672828665582488717612438111153465567488678883565774558527834317432581585115284615428652502262273308582728276622785050276268755667885476656338855378548343588826467224472776826672675656266764477748358581827767661182781148538475260315167671413813854388863851185538478371334833744681783253245317513551273826685667482482626780500476866878877576844487454848857515857445557585885682752527878852606077346566808736566564487588268851186173321615466428638286573881748354853564532517622762846867588768447418775548278278440748888871136478267518746584999999999999999, 0.1724137931034483, 140, 40, 52
018648627652027275865473275448332673214510884587752255578327287686615547786851675128114760126684435738517646853581457656111873678626765885540564886383850780008555574447358845455478784788285645586228262645788721152776138161484558863617117388725375158668458747434535461387833783154313151175231553625636273668734200644822645762018068826702676787475878654333757555575543387757446747754446668862676666654774477767355571221762866233105156637577260416622616114671835568678855783357477331335873544548123322711331153746662062655568878462664667508226787538375688565847874118857575855446554822877672677827478452604047746566688836662564487678268851571313328511467768535267773517888874853466533517662782842867588768447418775548278278440748888871136478267518746584999999999999999, 0.17355371900826447, 147, 42, 53
417544537520231568328444355335563538338255656350003373884556884632373568644786461478827477427453328223733135581712777663121233270577437788675687465472708087206622678847754563386354574652784845885848662427723251857863860128876012542616446713826885167878358435866467557723534363174511781525831463568286285583463345882686246883566562800782788666488478855738586573458355558278487228255576272625526266246676584627867517787722668183858144884475840216827411131181454568878571733658447335864554544588732853763121511546873062875677678286872687652022866538885688845884877818875515857746334885775877672828448444706044348662888836566568887578268871181312561615446728555866527887746354853554553515668782682867588768447418775548278278440748888871136478267518746584999999999999999, 0.1836734693877551, 124, 36, 36
647546614357867747841853576841652288236331666467688253587625664235768257242088647878424260666454654257316111418124184886538674368486255756205485576382625072874582588635367365745428874882225655577884227767178655208876738714886563587656738781122557783835845743466737767375343812447117711318733711165382555688464248684626228788585828742220776666888758456374586575878764488878487747452776666872628668462756688647368515787222811237788458587474825365867666411183434388858855585637678671365338754351137823361311551545623562775767824282272707058470767878885686865884454148775615455775537822787687757828848844604447348556807886582568867588265871171173561665347428538267573511888374355466532615268782682867588768447418775548278278440748888871136478267518746584999999999999999, 0.19327731092436976, 141, 46, 51
647546614357867747841853576841652288236331666467688253587625664235768257242088647878424260666454654257316111418124184886538674368486255756205485576382625072874582588635367365745428874882225655577884227767178655208876738714886563587656738781122557783835845743466737767375343812447117711318733711165382555688464248684626228788585828742220776666888758456374586575878764488878487747452776666872628668462756688647368515787222811237788458587474825365867666411183434388858855585637678671365338754351137823361311551545623562775767824282272707058470767878885686865884454148775615455775537822787687757828848844604447348556807886582568867588265871171173561665347428538267573511888374355466532615268782682867588768447418775548278278440748888871136478267518746584999999999999999, 0.19327731092436976, 141, 46, 51
073844265663358764344177888811671125184351478267488346658455467576812784246518866122724758653775382251183874458383285267615273170854688838546085586462778074688703664577767358365428447656625666647667424745528826157758657624886586512646477713823887737634878437566764458373534843143381551315785577628263575688226388687286666088680054276268775667487445646338855378548343588226467224472778876666765628464656447626358881827762661182755144848477828311877416131613455867563851788658878671367578735551633222213111818646626026676567884462274060602000886838375688845444857148875575857475357885775877752828444852674074748552887738566664868678665358586312321561367423535286573587888874855454532565228887842867588768447418775548278278440748888871136478267518746584999999999999999, 0.2, 175, 53, 37
073844265663358764344177888811671125184351478267488346658455467576812784246518866122724758653775382251183874458383285267615273170854688838546085586462778074688703664577767358365428447656625666647667424745528826157758657624886586512646477713823887737634878437566764458373534843143381551315785577628263575688226388687286666088680054276268775667487445646338855378548343588226467224472778876666765628464656447626358881827762661182755144848477828311877416131613455867563851788658878671367578735551633222213111818646626026676567884462274060602000886838375688845444857148875575857475357885775877752828444852674074748552887738566664868678665358586312321561367423535286573587888874855454532565228887842867588768447418775548278278440748888871136478267518746584999999999999999, 0.2, 175, 53, 37
417544537520231568328444355335366575633658737227422073884542654232663556846475584872765734557744584348317731731724487332587664821567437788675687465614708087206527887478568345356354574652784848885848662427723256857863860128876012542616446713145456883831648733884478568733554363173583155731344411686863502586462355882686246823566532800782758666477858855373555573543765555258487228255576272625526866246678687728355175728787668183181856544855240486123674131173835575657871733537673635865334455588732833313115158756266066655684878766276060500406887878387686864487857817775615857746334885875677672828448444704044348666888836566568887578268871181312561615446728658287573817846357853554553515268862886867588768447418775548278278440748888871136478267518746584999999999999999, 0.20833333333333334, 116, 40, 36
417544537520231568328444355335366575633658737227422073884542654232663556846475584872765734557744584348317731731724487332587664821567437788675687465614708087206527887478568345356354574652784848885848662427723256857863860128876012542616446713145456883831648733884478568733554363173583155731344411686863502586462355882686246823566532800782758666477858855373555573543765555258487228255576272625526866246678687728355175728787668183181856544855240486123674131173835575657871733537673635865334455588732833313115158756266066655684878766276060500406887878387686864487857817775615857746334885875677672828448444704044348666888836566568887578268871181312561615446728658287573817846357853554553515268862886867588768447418775548278278440748888871136478267518746584999999999999999, 0.20833333333333334, 116, 40, 36
428176525700048632828153881371766565688220234476406856754526578682855752273078114288744525735748678757335684458523487283161242230766277276287544566316850786626533888845737575363526474287784245674744652747185768202153658614874018513147636814722466153874443433566434738823533742772833357173834567488668776622636305567272543066018832822268788667648475485748765558545353455878846847424428628825676626444776474746355871787722156687808814644485640481163561113683454867877675163654878834834353734556733224713115151651673526685667678266224688550026767876375688844844854847875678845446354585875687757527448844704477748566687886582568467674285878576112368511467423555867527581748874855554833567228887686867588768447418775548278278440748888871136478267518746584999999999999999, 0.22388059701492538, 132, 60, 76
450061566846085357625226467714771173331455288208082268857478574558385342626041415464445628543486384443151141485728753287317245835468456873747004522264876276426020567436888845456856484287668628844668464646727621207168768511556458867652147184825588758761643853654757748523532362132387515721231763576853652643464555548668243668660838876700856564475745655874856538858543528257784788274475872626666268646664444666868817811787618627181156638554260315862514474871134877653575168377668835837874556658783224361317118671673866788768424722862680078202766536375678864444857117855578447775337525777887672527478854704074346666808738686528467674288871186372328615467463555266773581786354875454532517668882646867588768447418775548278278440748888871136478267518746584999999999999999, 0.22641509433962265, 120, 48, 44
