sim_id,generation,fitness
1,1,0.1111111111111111
1,2,0.09803921568627451
1,3,0.07462686567164178
1,4,0.07462686567164178
1,5,0.05
1,6,0.0
2,1,0.1076923076923077
2,2,0.1076923076923077
2,3,0.07547169811320754
2,4,0.06557377049180328
2,5,0.05172413793103448
2,6,0.0196078431372549
2,7,0.0196078431372549
2,8,0.0196078431372549
2,9,0.0
3,1,0.06666666666666667
3,2,0.05333333333333334
3,3,0.031746031746031744
3,4,0.018518518518518517
3,5,0.01694915254237288
3,6,0.0
4,1,0.11290322580645161
4,2,0.07246376811594203
4,3,0.07246376811594203
4,4,0.07246376811594203
4,5,0.06557377049180328
4,6,0.05263157894736842
4,7,0.02631578947368421
4,8,0.017241379310344827
4,9,0.017241379310344827
4,10,0.02631578947368421
4,11,0.0
5,1,0.07547169811320754
5,2,0.04477611940298507
5,3,0.04477611940298507
5,4,0.017241379310344827
5,5,0.014925373134328358
5,6,0.0
6,1,0.13846153846153847
6,2,0.12307692307692308
6,3,0.078125
6,4,0.058823529411764705
6,5,0.058823529411764705
6,6,0.014285714285714285
6,7,0.014285714285714285
6,8,0.0136986301369863
6,9,0.0
7,1,0.1111111111111111
7,2,0.10144927536231885
7,3,0.08571428571428572
7,4,0.07462686567164178
7,5,0.07142857142857142
7,6,0.04838709677419355
7,7,0.03278688524590164
7,8,0.0
8,1,0.06153846153846154
8,2,0.046153846153846156
8,3,0.0
9,1,0.13636363636363635
9,2,0.13114754098360656
9,3,0.10526315789473684
9,4,0.08823529411764706
9,5,0.05069124423963134
9,6,0.0410958904109589
9,7,0.0410958904109589
9,8,0.01818181818181818
9,9,0.01818181818181818
9,10,0.0
10,1,0.11864406779661017
10,2,0.1
10,3,0.03508771929824561
10,4,0.034482758620689655
10,5,0.02
10,6,0.017241379310344827
10,7,0.0
11,1,0.12307692307692308
11,2,0.11290322580645161
11,3,0.11290322580645161
11,4,0.02127659574468085
11,5,0.017543859649122806
11,6,0.0
12,1,0.10810810810810811
12,2,0.08974358974358974
12,3,0.056338028169014086
12,4,0.056338028169014086
12,5,0.0392156862745098
12,6,0.0392156862745098
12,7,0.03571428571428571
12,8,0.0
13,1,0.10606060606060606
13,2,0.08955223880597014
13,3,0.017543859649122806
13,4,0.015873015873015872
13,5,0.015873015873015872
13,6,0.015873015873015872
13,7,0.0
14,1,0.07272727272727272
14,2,0.07272727272727272
14,3,0.07142857142857142
14,4,0.03278688524590164
14,5,0.023255813953488372
14,6,0.023255813953488372
14,7,0.0
15,1,0.08064516129032258
15,2,0.08064516129032258
15,3,0.04285714285714286
15,4,0.018518518518518517
15,5,0.018518518518518517
15,6,0.01818181818181818
15,7,0.014492753623188406
15,8,0.013888888888888888
15,9,0.0
16,1,0.12
16,2,0.12
16,3,0.10294117647058823
16,4,0.04411764705882353
16,5,0.03125
16,6,0.03125
16,7,0.0
17,1,0.041666666666666664
17,2,0.041666666666666664
17,3,0.041666666666666664
17,4,0.041666666666666664
17,5,0.020833333333333332
17,6,0.020833333333333332
17,7,0.020833333333333332
17,8,0.020833333333333332
17,9,0.017543859649122806
17,10,0.017543859649122806
17,11,0.0
18,1,0.09722222222222222
18,2,0.07792207792207792
18,3,0.04918032786885246
18,4,0.04918032786885246
18,5,0.036585365853658534
18,6,0.036585365853658534
18,7,0.019230769230769232
18,8,0.0
19,1,0.07317073170731707
19,2,0.07317073170731707
19,3,0.04838709677419355
19,4,0.034482758620689655
19,5,0.02
19,6,0.017543859649122806
19,7,0.0
20,1,0.08064516129032258
20,2,0.08064516129032258
20,3,0.058823529411764705
20,4,0.04081632653061224
20,5,0.0
21,1,0.09433962264150944
21,2,0.07547169811320754
21,3,0.058823529411764705
21,4,0.057692307692307696
21,5,0.0392156862745098
21,6,0.01694915254237288
21,7,0.0
22,1,0.1044776119402985
22,2,0.058823529411764705
22,3,0.045454545454545456
22,4,0.039473684210526314
22,5,0.039473684210526314
22,6,0.014705882352941176
22,7,0.014705882352941176
22,8,0.0
23,1,0.05714285714285714
23,2,0.05714285714285714
23,3,0.06349206349206349
23,4,0.05084745762711865
23,5,0.028985507246376812
23,6,0.014705882352941176
23,7,0.0
24,1,0.14102564102564102
24,2,0.1
24,3,0.029411764705882353
24,4,0.02857142857142857
24,5,0.02857142857142857
24,6,0.014285714285714285
24,7,0.0
25,1,0.109375
25,2,0.04477611940298507
25,3,0.04477611940298507
25,4,0.04477611940298507
25,5,0.04225352112676056
25,6,0.017543859649122806
25,7,0.015384615384615385
25,8,0.014492753623188406
25,9,0.0
26,1,0.15517241379310345
26,2,0.13333333333333333
26,3,0.08771929824561403
26,4,0.0
27,1,0.06153846153846154
27,2,0.06153846153846154
27,3,0.06153846153846154
27,4,0.02127659574468085
27,5,0.02127659574468085
27,6,0.0
28,1,0.07352941176470588
28,2,0.07352941176470588
28,3,0.06349206349206349
28,4,0.05
28,5,0.03076923076923077
28,6,0.0
29,1,0.13846153846153847
29,2,0.06666666666666667
29,3,0.06557377049180328
29,4,0.017543859649122806
29,5,0.017543859649122806
29,6,0.017241379310344827
29,7,0.0
30,1,0.11627906976744186
30,2,0.09302325581395349
30,3,0.09302325581395349
30,4,0.07272727272727272
30,5,0.019230769230769232
30,6,0.017543859649122806
30,7,0.0
