Simulation, Generations
1, 10
2, 3
3, 6
4, 9
5, 7
6, 7
7, 7
8, 10
9, 6
10, 7
11, 9
12, 11
13, 11
14, 11
15, 7
16, 4
17, 7
18, 3
19, 7
20, 9
21, 4
22, 8
23, 11
24, 7
25, 9
26, 6
27, 5
28, 8
29, 6
30, 12
