Simulation, Generations
1, 3
2, 9
3, 5
4, 9
5, 1
6, 7
7, 12
8, 5
9, 7
10, 10
11, 8
12, 14
13, 5
14, 11
15, 7
16, 7
17, 3
18, 8
19, 8
20, 5
21, 6
22, 6
23, 8
24, 5
25, 5
26, 6
27, 8
28, 10
29, 7
30, 9
